Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Cefepime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"PAK","Pakistan","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Cefepime",5623,149,120,80.536912752
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Escherichia coli","Cefepime",4276,786,152,19.338422392
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Escherichia coli","Cefepime",4095,2209,478,21.638750566
"SAU","Saudi Arabia","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Cefepime",2458,467,263,56.316916488
"ZAF","South Africa","African Region",2020,"BLOOD","Escherichia coli","Cefepime",23840,4268,1104,25.866916589
"THA","Thailand","South-East Asia Region",2020,"BLOOD","Escherichia coli","Cefepime",6159,864,162,18.75
"TUN","Tunisia","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Cefepime",917,80,23,28.75
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Cefepime",2925,580,101,17.413793103
"ARG","Argentina","Region of the Americas",2021,"BLOOD","Escherichia coli","Cefepime",9243,1856,320,17.24137931
"BHR","Bahrain","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Cefepime",677,126,71,56.349206349
"IND","India","South-East Asia Region",2021,"BLOOD","Escherichia coli","Cefepime",34056,2928,1641,56.045081967
"IDN","Indonesia","South-East Asia Region",2021,"BLOOD","Escherichia coli","Cefepime",3070,519,175,33.718689788
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Cefepime",2037,500,260,52
"JPN","Japan","Western Pacific Region",2021,"BLOOD","Escherichia coli","Cefepime",148205,83561,10202,12.209044889
"JOR","Jordan","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Cefepime",1611,62,30,48.387096774
"MLI","Mali","African Region",2021,"BLOOD","Escherichia coli","Cefepime",280,57,26,45.614035088
"MLT","Malta","European Region",2021,"BLOOD","Escherichia coli","Cefepime",569,299,21,7.023411371
"NPL","Nepal","South-East Asia Region",2021,"BLOOD","Escherichia coli","Cefepime",1301,65,38,58.461538462
"PAK","Pakistan","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Cefepime",10931,635,489,77.007874016
