Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Meropenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"ARG","Argentina","Region of the Americas",2020,"BLOOD","Escherichia coli","Meropenem",7376,1933,5,0.258665287
"BHR","Bahrain","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Meropenem",568,127,6,4.724409449
"BIH","Bosnia and Herzegovina","European Region",2020,"BLOOD","Escherichia coli","Meropenem",954,179,0,0
"BRA","Brazil","Region of the Americas",2020,"BLOOD","Escherichia coli","Meropenem",584,125,0,0
"GEO","Georgia","European Region",2020,"BLOOD","Escherichia coli","Meropenem",741,134,1,0.746268657
"IND","India","South-East Asia Region",2020,"BLOOD","Escherichia coli","Meropenem",12371,2117,500,23.618327822
"IDN","Indonesia","South-East Asia Region",2020,"BLOOD","Escherichia coli","Meropenem",1676,391,13,3.324808184
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Meropenem",1854,177,5,2.824858757
"JPN","Japan","Western Pacific Region",2020,"BLOOD","Escherichia coli","Meropenem",142185,85346,27,0.031635929
"JOR","Jordan","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Meropenem",446,97,7,7.216494845
"XKX","Kosovo","European Region",2020,"BLOOD","Escherichia coli","Meropenem",161,10,0,0
"LAO","Lao People's Democratic Republic","Western Pacific Region",2020,"BLOOD","Escherichia coli","Meropenem",422,161,0,0
"MLT","Malta","European Region",2020,"BLOOD","Escherichia coli","Meropenem",530,277,0,0
"NPL","Nepal","South-East Asia Region",2020,"BLOOD","Escherichia coli","Meropenem",1515,159,9,5.660377358
"MKD","North Macedonia","European Region",2020,"BLOOD","Escherichia coli","Meropenem",293,49,1,2.040816327
"OMN","Oman","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Meropenem",876,109,1,0.917431193
"PAK","Pakistan","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Meropenem",5623,382,85,22.251308901
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Escherichia coli","Meropenem",4276,766,55,7.180156658
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Escherichia coli","Meropenem",4095,2209,1,0.045269353
