Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Escherichia coli
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Escherichia coli","Ciprofloxacin",2925,775,411,53.032258065
"ARG","Argentina","Region of the Americas",2021,"BLOOD","Escherichia coli","Ciprofloxacin",9243,2035,619,30.417690418
"BHR","Bahrain","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",677,128,51,39.84375
"BIH","Bosnia and Herzegovina","European Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",1457,201,70,34.825870647
"BRA","Brazil","Region of the Americas",2021,"BLOOD","Escherichia coli","Ciprofloxacin",953,137,53,38.686131387
"GEO","Georgia","European Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",666,82,18,21.951219512
"IND","India","South-East Asia Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",34056,6623,4962,74.920730787
"IDN","Indonesia","South-East Asia Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",3070,509,360,70.726915521
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",2037,466,287,61.587982833
"JPN","Japan","Western Pacific Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",148205,54155,16103,29.73501985
"JOR","Jordan","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",1611,59,35,59.322033898
"XKX","Kosovo","European Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",213,10,4,40
"LAO","Lao People's Democratic Republic","Western Pacific Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",340,133,41,30.827067669
"LBN","Lebanon","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",315,81,39,48.148148148
"MLI","Mali","African Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",280,65,26,40
"MLT","Malta","European Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",569,299,92,30.769230769
"NPL","Nepal","South-East Asia Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",1301,147,84,57.142857143
"MKD","North Macedonia","European Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",284,46,27,58.695652174
"OMN","Oman","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",1621,275,111,40.363636364
"PAK","Pakistan","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",10931,2605,1952,74.932821497
"PHL","Philippines","Western Pacific Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",4850,881,419,47.559591373
"KOR","Republic of Korea","Western Pacific Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",4488,2165,888,41.016166282
"RUS","Russian Federation","European Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",2762,296,152,51.351351351
"SAU","Saudi Arabia","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",1126,211,104,49.289099526
"ZAF","South Africa","African Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",23334,3940,1122,28.47715736
"CHE","Switzerland","European Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",10322,5869,879,14.976997785
"THA","Thailand","South-East Asia Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",6559,2408,1091,45.30730897
"TUN","Tunisia","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",854,133,48,36.090225564
"ARE","United Arab Emirates","Eastern Mediterranean Region",2021,"BLOOD","Escherichia coli","Ciprofloxacin",3989,1283,650,50.662509743
"ARG","Argentina","Region of the Americas",2022,"BLOOD","Escherichia coli","Ciprofloxacin",8366,2088,734,35.153256705
"BHR","Bahrain","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",582,138,61,44.202898551
"BIH","Bosnia and Herzegovina","European Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",1207,274,91,33.211678832
"BRA","Brazil","Region of the Americas",2022,"BLOOD","Escherichia coli","Ciprofloxacin",776,192,87,45.3125
"GEO","Georgia","European Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",1007,202,73,36.138613861
"IND","India","South-East Asia Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",43929,9059,6807,75.140744011
"IDN","Indonesia","South-East Asia Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",5596,1267,883,69.692186267
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",2263,632,406,64.240506329
"JPN","Japan","Western Pacific Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",158356,56444,16921,29.978385657
"JOR","Jordan","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",2027,392,240,61.224489796
"XKX","Kosovo","European Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",189,13,4,30.769230769
"LAO","Lao People's Democratic Republic","Western Pacific Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",461,211,64,30.331753555
"LBN","Lebanon","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",1084,822,326,39.659367397
"MLI","Mali","African Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",286,69,37,53.623188406
"MLT","Malta","European Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",706,382,108,28.272251309
"NPL","Nepal","South-East Asia Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",2829,271,135,49.815498155
"MKD","North Macedonia","European Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",279,63,41,65.079365079
"OMN","Oman","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",2075,459,217,47.276688453
"PAK","Pakistan","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",16099,3443,2536,73.656694743
"PHL","Philippines","Western Pacific Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",5937,1223,571,46.688470973
"KOR","Republic of Korea","Western Pacific Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",4484,2281,942,41.297676458
"RUS","Russian Federation","European Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",4369,681,344,50.513950073
"SAU","Saudi Arabia","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",1962,443,209,47.178329571
"ZAF","South Africa","African Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",24658,4286,1306,30.471301913
"CHE","Switzerland","European Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",11308,6221,910,14.627873332
"THA","Thailand","South-East Asia Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",9544,2630,1164,44.258555133
"TUN","Tunisia","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",858,92,32,34.782608696
"ARE","United Arab Emirates","Eastern Mediterranean Region",2022,"BLOOD","Escherichia coli","Ciprofloxacin",4194,1535,782,50.944625407
"ARG","Argentina","Region of the Americas",2023,"BLOOD","Escherichia coli","Ciprofloxacin",9290,2431,841,34.594816948
"BHR","Bahrain","Eastern Mediterranean Region",2023,"BLOOD","Escherichia coli","Ciprofloxacin",964,259,127,49.034749035
"BIH","Bosnia and Herzegovina","European Region",2023,"BLOOD","Escherichia coli","Ciprofloxacin",1271,338,119,35.207100592
"BRA","Brazil","Region of the Americas",2023,"BLOOD","Escherichia coli","Ciprofloxacin",3041,748,313,41.844919786
"GEO","Georgia","European Region",2023,"BLOOD","Escherichia coli","Ciprofloxacin",898,204,72,35.294117647
