Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Staphylococcus aureus
Antibiotic filter: Methicillin resistance

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"PAK","Pakistan","Eastern Mediterranean Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",5623,177,123,69.491525424
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",4276,1160,530,45.689655172
"POL","Poland","European Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",4975,1197,176,14.70342523
"KOR","Republic of Korea","Western Pacific Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",4095,734,349,47.547683924
"RUS","Russian Federation","European Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",1305,45,13,28.888888889
"SAU","Saudi Arabia","Eastern Mediterranean Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",2458,658,323,49.088145897
"ZAF","South Africa","African Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",23840,6135,1205,19.641401793
"SWE","Sweden","European Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",38574,13742,320,2.328627565
"CHE","Switzerland","European Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",10256,1132,58,5.123674912
"THA","Thailand","South-East Asia Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",6159,254,27,10.62992126
"TUN","Tunisia","Eastern Mediterranean Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",917,157,19,12.101910828
"ARE","United Arab Emirates","Eastern Mediterranean Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",2925,555,236,42.522522523
"GBR","United Kingdom of Great Britain and Northern Ireland","European Region",2020,"BLOOD","Staphylococcus aureus","Methicillin resistance",40326,1544,60,3.886010363
"ARG","Argentina","Region of the Americas",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",9243,1841,632,34.32916893
"AUT","Austria","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",8978,1986,62,3.121852971
"BIH","Bosnia and Herzegovina","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",1457,72,15,20.833333333
"BRA","Brazil","Region of the Americas",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",953,300,21,7
"HRV","Croatia","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",2164,15,10,66.666666667
"CYP","Cyprus","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",742,177,76,42.937853107
"CZE","Czechia","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",7181,2279,215,9.433962264
"EGY","Egypt","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",31,13,12,92.307692308
"FIN","Finland","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",9416,1470,34,2.31292517
"GEO","Georgia","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",666,158,40,25.316455696
"DEU","Germany","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",52195,14673,720,4.906971989
"GRC","Greece","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",3973,535,231,43.177570093
"IND","India","South-East Asia Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",34056,8130,4526,55.670356704
"IDN","Indonesia","South-East Asia Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",3070,496,187,37.701612903
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",2037,372,122,32.795698925
"IRL","Ireland","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",4465,529,58,10.964083176
"ITA","Italy","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",42929,9953,3073,30.875113031
"JPN","Japan","Western Pacific Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",148205,26667,9348,35.054561818
"JOR","Jordan","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",1611,113,80,70.796460177
"XKX","Kosovo","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",213,16,7,43.75
"LAO","Lao People's Democratic Republic","Western Pacific Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",340,87,26,29.885057471
"LVA","Latvia","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",1786,527,24,4.554079696
"LBN","Lebanon","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",315,43,16,37.209302326
"LTU","Lithuania","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",2871,746,67,8.981233244
"MLI","Mali","African Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",280,47,1,2.127659574
"MLT","Malta","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",569,103,21,20.388349515
"MOZ","Mozambique","African Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",78,24,6,25
"NPL","Nepal","South-East Asia Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",1301,57,33,57.894736842
"NLD","Netherlands (Kingdom of the)","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",11306,1425,23,1.614035088
"MKD","North Macedonia","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",284,26,21,80.769230769
"PAK","Pakistan","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",10931,172,142,82.558139535
"PHL","Philippines","Western Pacific Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",4850,1204,537,44.601328904
"POL","Poland","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",6358,1610,266,16.52173913
"KOR","Republic of Korea","Western Pacific Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",4488,772,349,45.207253886
"RUS","Russian Federation","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",2762,405,69,17.037037037
"SAU","Saudi Arabia","Eastern Mediterranean Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",1126,260,131,50.384615385
"ZAF","South Africa","African Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",23334,6028,1003,16.639017916
"SWE","Sweden","European Region",2021,"BLOOD","Staphylococcus aureus","Methicillin resistance",21163,7733,152,1.965601966
